""	"OBJECTID"	"ULAND"	"UREGBEZ"	"UKREIS"	"UGEMEINDE"	"UJAHR"	"UMONAT"	"USTUNDE"	"UWOCHENTAG"	"UKATEGORIE"	"UART"	"UTYP1"	"ULICHTVERH"	"IstRad"	"IstPKW"	"IstFuss"	"IstKrad"	"IstGkfz"	"IstSonstig"	"LINREFX"	"LINREFY"	"XGCSWGS84"	"YGCSWGS84"	"STRZUSTAND"	"geometry"
"4842"	202125	"11"	"0"	"01"	"001"	"2019"	"12"	"12"	"5"	"3"	"5"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	796981.212402	5831508.98799	13.381221181	52.552455555	"1"	c(796981.212401565, 5831508.98799379, 0.684699999997974)
"4843"	202126	"11"	"0"	"10"	"010"	"2019"	"12"	"12"	"5"	"3"	"5"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	812883.433479	5828217.38028	13.611915334	52.514058604	"1"	c(812883.433479325, 5828217.38028373, 0.0136999999958789)
"4844"	202128	"11"	"0"	"09"	"009"	"2019"	"12"	"12"	"5"	"2"	"5"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	805510.403425	5821508.89457	13.497456238	52.458113751	"0"	c(805510.403425324, 5821508.89457431, 0.00849999999627471)
"4845"	202134	"11"	"0"	"02"	"002"	"2019"	"12"	"21"	"5"	"2"	"5"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	797270.423619	5824744.30791	13.379428184	52.491660216	"1"	c(797270.423619455, 5824744.30790809, 0.227400000003399)
"4846"	202135	"11"	"0"	"01"	"001"	"2019"	"12"	"20"	"5"	"3"	"1"	"5"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	798411.295306	5829204.44598	13.400181016	52.531016975	"0"	c(798411.295306453, 5829204.44597792, 0.163100000005215)
"4847"	202138	"11"	"0"	"06"	"006"	"2019"	"12"	"18"	"5"	"3"	"5"	"3"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	790633.820574	5817849.78759	13.275952543	52.433423803	"1"	c(790633.820573932, 5817849.78759345, 0.0521000000007916)
"4848"	202139	"11"	"0"	"02"	"002"	"2019"	"12"	"18"	"5"	"3"	"2"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	799585.332229	5826345.25575	13.414862166	52.504744797	"0"	c(799585.332229052, 5826345.25575054, 0.0161999999982072)
"4849"	202149	"11"	"0"	"09"	"009"	"2019"	"12"	"06"	"5"	"3"	"4"	"6"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	810842.749385	5821379.93015	13.575564809	52.453951554	"1"	c(810842.749385387, 5821379.93015394, 0.107000000003609)
"4850"	202153	"11"	"0"	"09"	"009"	"2019"	"12"	"07"	"4"	"3"	"4"	"5"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	805009.222695	5822035.32084	13.490583914	52.463111837	"0"	c(805009.222695252, 5822035.32083991, 0.718599999992875)
"4851"	202154	"11"	"0"	"03"	"003"	"2019"	"12"	"16"	"4"	"3"	"0"	"6"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	799838.774497	5830337.21112	13.422183721	52.540387039	"0"	c(799838.774497064, 5830337.21111882, 0.283299999995506)
"4852"	202155	"11"	"0"	"08"	"008"	"2019"	"12"	"20"	"4"	"3"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	801016.201503	5823909.12748	13.433678818	52.48212163	"0"	c(801016.201502803, 5823909.12748269, 0.0144000000000233)
"4853"	202158	"11"	"0"	"01"	"001"	"2019"	"12"	"17"	"4"	"3"	"5"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	794557.146676	5828963.71806	13.343315538	52.530955402	"0"	c(794557.146676349, 5828963.71805649, 0.624800000005052)
"4854"	202168	"11"	"0"	"04"	"004"	"2019"	"12"	"13"	"4"	"3"	"0"	"4"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	790963.238429	5826754.29207	13.288552001	52.513078308	"0"	c(790963.238429031, 5826754.2920656, 0.00990000000456348)
"4855"	202169	"11"	"0"	"01"	"001"	"2019"	"12"	"12"	"4"	"3"	"5"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	799652.473248	5827049.72643	13.416482542	52.511022426	"0"	c(799652.473248454, 5827049.72642588, 0.00229999999282882)
"4856"	202176	"11"	"0"	"01"	"001"	"2019"	"12"	"17"	"4"	"3"	"6"	"2"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	798933.788544	5827028.49137	13.405905074	52.5112264	"0"	c(798933.788544143, 5827028.49137052, 0.00470000000495929)
"4857"	202177	"11"	"0"	"04"	"004"	"2019"	"12"	"15"	"4"	"1"	"5"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	791668.698391	5827715.83731	13.299761093	52.521321631	"0"	c(791668.698391379, 5827715.83730625, 0.186499999996158)
